City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,puerto natales,-51.7236,-72.4875,6.25,45,40,8.23,CL,1698593065
84,at taj,24.2049,23.2857,30.14,19,0,3.6,LY,1698593066
85,san julian,21.0167,-102.1667,18.03,59,13,1.92,MX,1698593066
86,albany,42.6001,-73.9662,7.35,92,100,2.43,US,1698593066
87,port elizabeth,-33.918,25.5701,16.16,62,75,4.63,ZA,1698593066
88,kodiak,57.79,-152.4072,8.73,93,100,10.29,US,1698593067
89,jieshi,22.8134,115.8257,23.6,80,95,6.07,CN,1698593067
90,ust-nera,64.5667,143.2,-18.1,97,59,1.03,RU,1698593067
91,sabzevar,36.2126,57.6819,20.6,30,0,5.14,IR,1698593067
92,stanley,54.868,-1.6985,9.33,95,75,2.06,GB,1698593067
93,college,64.8569,-147.8028,-5.86,86,75,0.0,US,1698593068
94,bredasdorp,-34.5322,20.0403,15.67,53,3,10.12,ZA,1698593068
95,yuzhno-kurilsk,44.0306,145.8556,7.99,76,6,2.02,RU,1698593068
96,edinburgh of the seven seas,-37.0676,-12.3116,11.22,65,22,10.26,SH,1698593068
97,markovo,57.3206,107.0881,-6.01,70,100,2.36,RU,1698593069
98,camana,-16.6228,-72.7111,22.06,74,33,5.27,PE,1698593069
99,eydhafushi,5.1033,73.0708,27.95,74,99,3.98,MV,1698593069
100,arkadelphia,34.1209,-93.0538,18.92,100,100,3.09,US,1698593069
101,ola,59.5833,151.2833,-1.19,69,87,2.52,RU,1698593070
102,kununurra,-15.7667,128.7333,23.99,73,45,1.03,AU,1698593070
103,kaya,13.0917,-1.0844,37.46,13,5,2.88,BF,1698593070
104,flying fish cove,-10.4217,105.6791,25.82,83,75,4.63,CX,1698593070
105,enewetak,11.3474,162.3373,28.85,76,24,7.56,MH,1698593071
106,el granada,37.5027,-122.4694,15.19,34,0,3.6,US,1698592983
107,salekhard,66.53,66.6019,-13.03,99,90,0.99,RU,1698593071
108,keflavik,64.0049,-22.5624,6.95,65,0,1.03,IS,1698593071
109,bredy,52.4153,60.3411,5.43,99,100,6.67,RU,1698593072
110,udachny,66.4167,112.4,-15.86,84,100,4.23,RU,1698593072
111,nova sintra,14.8667,-24.7167,23.17,67,97,5.03,CV,1698593072
112,kokhma,56.9349,41.0915,-2.17,84,100,3.13,RU,1698593072
113,trinity beach,-16.7888,145.6968,23.94,78,75,2.57,AU,1698593073
114,port mathurin,-19.6833,63.4167,25.05,73,40,4.63,MU,1698593073
115,miles city,46.4083,-105.8406,-3.46,74,100,7.2,US,1698593073
116,hamilton,39.1834,-84.5333,15.49,95,100,3.6,US,1698593073
117,cill airne,52.05,-9.5167,10.03,93,20,0.51,IE,1698593074
118,kapa'a,22.0752,-159.319,22.18,84,20,3.6,US,1698593074
119,sakaiminato,35.55,133.2333,13.99,88,75,2.57,JP,1698593074
120,semera,11.501,41.201,31.03,37,69,8.17,ET,1698593074
121,kerikeri,-35.2268,173.9474,14.95,95,100,2.24,NZ,1698593075
122,yellowknife,62.456,-114.3525,-6.71,86,75,1.54,CA,1698593075
123,ilam,26.9167,87.9167,16.24,85,29,2.24,NP,1698593075
124,general mosconi,-23.1851,-62.303,35.68,38,2,2.8,AR,1698593075
125,saldanha,-33.0117,17.9442,28.03,40,0,6.74,ZA,1698593076
126,benghazi,32.1167,20.0667,24.53,62,4,6.1,LY,1698593076
127,argo,37.6333,22.7333,23.21,55,15,1.07,GR,1698592791
128,ampara,7.2833,81.6667,25.54,84,91,2.03,LK,1698593077
129,novodvinsk,64.4165,40.8122,-4.56,81,98,0.89,RU,1698593078
130,betio village,1.358,172.9211,27.02,71,99,3.47,KI,1698593078
131,howard springs,-12.497,131.047,28.95,82,21,1.02,AU,1698593078
132,chonchi,-42.6128,-73.8092,10.07,57,65,4.68,CL,1698593079
133,hermanus,-34.4187,19.2345,17.04,55,0,12.07,ZA,1698593079
134,touros,-5.1989,-35.4608,30.17,53,63,8.59,BR,1698593079
135,jiuquan,39.7432,98.5174,12.02,26,0,1.7,CN,1698593079
136,plastun,44.7561,136.2939,3.28,59,1,1.78,RU,1698593079
137,mejit,10.2753,170.8646,28.27,80,93,8.56,MH,1698593080
138,acapulco de juarez,16.8634,-99.8901,27.44,77,83,1.17,MX,1698593080
139,ngorongoro,-3.2397,35.4875,19.92,39,78,4.23,TZ,1698593080
140,seydi,39.4816,62.9137,23.67,32,72,2.89,TM,1698593080
141,colac,-38.3333,143.5833,10.09,85,100,2.66,AU,1698593081
142,pala,9.3642,14.9046,33.51,34,90,2.16,TD,1698593081
143,kalkaman,51.9525,76.0211,0.57,87,100,2.75,KZ,1698593081
144,colonia,50.9333,6.95,16.74,68,20,7.72,DE,1698592945
145,porto novo,6.4965,2.6036,30.9,69,99,1.49,BJ,1698593082
146,lihue,21.9789,-159.3672,21.77,94,20,3.6,US,1698593082
147,dunhua,43.3725,128.2425,5.66,61,36,2.44,CN,1698593082
148,st. john's,47.5649,-52.7093,9.82,73,75,10.8,CA,1698592892
149,tanabe,33.7333,135.3667,12.34,80,0,4.38,JP,1698593082
150,beyla,8.6833,-8.6333,28.72,49,2,2.41,GN,1698593083
151,sittwe,20.15,92.9,26.42,75,31,2.37,MM,1698593083
152,bonthe,7.5264,-12.505,29.61,67,76,3.43,SL,1698593083
153,sao joao dos patos,-6.495,-43.7022,37.35,19,5,3.89,BR,1698593083
154,sitka,57.0531,-135.33,5.94,75,100,2.06,US,1698593084
155,inhambane,-23.865,35.3833,21.55,83,98,8.75,MZ,1698593084
156,tazovsky,67.4667,78.7,-15.04,93,31,2.11,RU,1698593084
157,ilulissat,69.2167,-51.1,-4.99,68,75,2.06,GL,1698593084
158,saint-pierre,-21.3393,55.4781,25.82,78,100,5.14,RE,1698593085
159,dolisie,-4.1997,12.6739,29.28,69,100,0.94,CG,1698593085
160,klyuchi,52.2667,79.1667,-1.17,95,96,3.67,RU,1698593085
161,massawa,15.6097,39.45,29.85,70,85,7.4,ER,1698593085
162,port saint john's,-31.6229,29.5448,15.97,61,85,6.55,ZA,1698593085
163,vilhena,-12.7406,-60.1458,34.94,33,99,2.79,BR,1698592813
164,vadso,70.0744,29.7487,-2.91,74,75,3.6,NO,1698593086
165,nemuro,43.3236,145.575,10.22,74,55,4.4,JP,1698593086
166,carnarvon,-24.8667,113.6333,20.12,69,0,11.14,AU,1698592876
167,tippi,7.2,35.45,20.16,96,94,0.34,ET,1698593087
168,tura,25.5198,90.2201,19.94,92,7,1.54,IN,1698593087
169,buala,-8.145,159.5921,26.22,84,98,1.06,SB,1698593087
170,port-vila,-17.7338,168.3219,23.06,82,70,2.74,VU,1698593087
171,coxen hole,16.3244,-86.5366,25.6,94,75,1.03,HN,1698593088
172,christchurch,-43.5333,172.6333,12.17,79,75,6.69,NZ,1698593085
173,west island,-12.1568,96.8225,25.99,83,40,8.23,CC,1698593088
174,shahba,32.8551,36.629,21.26,37,100,8.86,SY,1698593088
175,morehead city,34.7229,-76.726,26.11,75,0,1.79,US,1698593089
176,fernie,49.5,-115.0687,-10.95,78,36,0.77,CA,1698593089
177,zaozersk,69.4005,32.4476,-9.08,95,100,1.24,RU,1698592860
178,labasa,-16.4167,179.3833,23.51,93,24,2.05,FJ,1698593089
179,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,59,0,4.0,RU,1698593090
